SiteId,SiteName,SiteType,SiteLevel,Suburbs,LGA,Postcodes,Status,StatusText,OrgName,OrgURL,LastTestDate,AreaSizeKM,estPopulation,estPopulationSource,centroidLat,centroidLong,SampleCollectionDateStart,SampleCollectionDateEnd,SampleResult,QuantitativeResult,QuantitativeResultLevel,TrendResult,TrendResultLevel
ATP-RAW,Altona,Metro,3," Altona (Vic.), Altona Meadows, Hoppers Crossing, Laverton (Vic.), Point Cook, Seabrook, Seaholme, Williams Landing"," Hobsons Bay (C), Wyndham (C)"," 3018, 3027, 3028, 3029, 3030",200,Detection reported in the last seven days,Greater Western Water,https://www.gww.com.au/,27/06/2022 07:00,46.8393403,52838,ABS 2016 Census,-37.874383,144.7801139,05/04/2022 06:00,06/04/2022 06:00,Detected,Very strong detection,400,N/A,0
ATP-RAW,Altona,Metro,3," Altona (Vic.), Altona Meadows, Hoppers Crossing, Laverton (Vic.), Point Cook, Seabrook, Seaholme, Williams Landing"," Hobsons Bay (C), Wyndham (C)"," 3018, 3027, 3028, 3029, 3030",200,Detection reported in the last seven days,Greater Western Water,https://www.gww.com.au/,27/06/2022 07:00,46.8393403,52838,ABS 2016 Census,-37.874383,144.7801139,11/04/2022 07:00,12/04/2022 07:00,Detected,Very strong detection,400,N/A,0
ATP-RAW,Altona,Metro,3," Altona (Vic.), Altona Meadows, Hoppers Crossing, Laverton (Vic.), Point Cook, Seabrook, Seaholme, Williams Landing"," Hobsons Bay (C), Wyndham (C)"," 3018, 3027, 3028, 3029, 3030",200,Detection reported in the last seven days,Greater Western Water,https://www.gww.com.au/,27/06/2022 07:00,46.8393403,52838,ABS 2016 Census,-37.874383,144.7801139,19/04/2022 07:00,20/04/2022 07:00,Detected,Very strong detection,400,N/A,0
ATP-RAW,Altona,Metro,3," Altona (Vic.), Altona Meadows, Hoppers Crossing, Laverton (Vic.), Point Cook, Seabrook, Seaholme, Williams Landing"," Hobsons Bay (C), Wyndham (C)"," 3018, 3027, 3028, 3029, 3030",200,Detection reported in the last seven days,Greater Western Water,https://www.gww.com.au/,27/06/2022 07:00,46.8393403,52838,ABS 2016 Census,-37.874383,144.7801139,26/04/2022 07:30,27/04/2022 07:30,Detected,Very strong detection,400,N/A,0
ATP-RAW,Altona,Metro,3," Altona (Vic.), Altona Meadows, Hoppers Crossing, Laverton (Vic.), Point Cook, Seabrook, Seaholme, Williams Landing"," Hobsons Bay (C), Wyndham (C)"," 3018, 3027, 3028, 3029, 3030",200,Detection reported in the last seven days,Greater Western Water,https://www.gww.com.au/,27/06/2022 07:00,46.8393403,52838,ABS 2016 Census,-37.874383,144.7801139,03/05/2022 05:45,04/05/2022 05:45,Detected,Very strong detection,400,N/A,0
ATP-RAW,Altona,Metro,3," Altona (Vic.), Altona Meadows, Hoppers Crossing, Laverton (Vic.), Point Cook, Seabrook, Seaholme, Williams Landing"," Hobsons Bay (C), Wyndham (C)"," 3018, 3027, 3028, 3029, 3030",200,Detection reported in the last seven days,Greater Western Water,https://www.gww.com.au/,27/06/2022 07:00,46.8393403,52838,ABS 2016 Census,-37.874383,144.7801139,10/05/2022 07:30,11/05/2022 07:30,Detected,Very strong detection,400,N/A,0
ATP-RAW,Altona,Metro,3," Altona (Vic.), Altona Meadows, Hoppers Crossing, Laverton (Vic.), Point Cook, Seabrook, Seaholme, Williams Landing"," Hobsons Bay (C), Wyndham (C)"," 3018, 3027, 3028, 3029, 3030",200,Detection reported in the last seven days,Greater Western Water,https://www.gww.com.au/,27/06/2022 07:00,46.8393403,52838,ABS 2016 Census,-37.874383,144.7801139,17/05/2022 07:00,18/05/2022 07:00,Detected,Very strong detection,400,N/A,0
ATP-RAW,Altona,Metro,3," Altona (Vic.), Altona Meadows, Hoppers Crossing, Laverton (Vic.), Point Cook, Seabrook, Seaholme, Williams Landing"," Hobsons Bay (C), Wyndham (C)"," 3018, 3027, 3028, 3029, 3030",200,Detection reported in the last seven days,Greater Western Water,https://www.gww.com.au/,27/06/2022 07:00,46.8393403,52838,ABS 2016 Census,-37.874383,144.7801139,24/05/2022 07:00,25/05/2022 07:00,Detected,Very strong detection,400,N/A,0
ATP-RAW,Altona,Metro,3," Altona (Vic.), Altona Meadows, Hoppers Crossing, Laverton (Vic.), Point Cook, Seabrook, Seaholme, Williams Landing"," Hobsons Bay (C), Wyndham (C)"," 3018, 3027, 3028, 3029, 3030",200,Detection reported in the last seven days,Greater Western Water,https://www.gww.com.au/,27/06/2022 07:00,46.8393403,52838,ABS 2016 Census,-37.874383,144.7801139,31/05/2022 07:00,01/06/2022 07:00,Detected,Very strong detection,400,N/A,0
ATP-RAW,Altona,Metro,3," Altona (Vic.), Altona Meadows, Hoppers Crossing, Laverton (Vic.), Point Cook, Seabrook, Seaholme, Williams Landing"," Hobsons Bay (C), Wyndham (C)"," 3018, 3027, 3028, 3029, 3030",200,Detection reported in the last seven days,Greater Western Water,https://www.gww.com.au/,27/06/2022 07:00,46.8393403,52838,ABS 2016 Census,-37.874383,144.7801139,07/06/2022 07:00,08/06/2022 07:00,Detected,Very strong detection,400,N/A,0
